file_name,line_number,exception,data
files/vial_audit/AuditTrail0_20171224_121254_SPAMI-PC.1.csv,2,time data '12/24/2017 1:12:54 PM' does not match format '%d/%m/%Y %H:%M:%S',"OrderedDict([('record_id', '0'), ('time_stamp', '12/24/2017 1:12:54 PM'), ('delta_to_utc', '-1:00'), ('user_id', 'System'), ('object_id', 'Application'), ('description', ""New log file during run of WinCC Runtime Advanced V13.00 + SP01 HF9 on HMI device SPAMI-PC. Project: 'PSP511701V19.LKD - 0' Build 349, created with WinCC Advanced V13 SP2.""), ('comment', ''), ('check_sum', 'XuFt0L')])"
files/vial_audit/AuditTrail0_20171224_121254_SPAMI-PC.1.csv,3,time data '12/24/2017 1:12:54 PM' does not match format '%d/%m/%Y %H:%M:%S',"OrderedDict([('record_id', '57426'), ('time_stamp', '12/24/2017 1:12:54 PM'), ('delta_to_utc', '-1:00'), ('user_id', 'System'), ('object_id', 'Logs'), ('description', 'Exporting a log.'), ('comment', ''), ('check_sum', 'U+IgOm')])"
files/vial_audit/AuditTrail0_20171224_121254_SPAMI-PC.1.csv,4,time data '12/24/2017 1:12:54 PM' does not match format '%d/%m/%Y %H:%M:%S',"OrderedDict([('record_id', '0'), ('time_stamp', '12/24/2017 1:12:54 PM'), ('delta_to_utc', '-1:00'), ('user_id', 'System'), ('object_id', 'Logs'), ('description', 'Log files closed.'), ('comment', ''), ('check_sum', '291uz5')])"
files/vial_audit/AuditTrail0_20180131_134857_SPAMI-PC.csv,ALL,"OrderedDict([('record_id', '\x0c\x0e'), ('time_stamp', None), ('delta_to_utc', None), ('user_id', None), ('object_id', None), ('description', None), ('comment', None), ('check_sum', None)])",
files/vial_audit/AuditTrail0_20180207_091217_SPAMI-PC.1.csv,2,unconverted data remains:  AM,"OrderedDict([('record_id', '0'), ('time_stamp', '2/7/2018 10:12:17 AM'), ('delta_to_utc', '-1:00'), ('user_id', 'System'), ('object_id', 'Application'), ('description', ""New log file during run of WinCC Runtime Advanced V13.00 + SP01 HF9 on HMI device SPAMI-PC. Project: 'PSP511701V21.LKD - 0' Build 400, created with WinCC Advanced V13 SP2.""), ('comment', ''), ('check_sum', 'JU36O0')])"
files/vial_audit/AuditTrail0_20180207_091217_SPAMI-PC.1.csv,3,unconverted data remains:  AM,"OrderedDict([('record_id', '59665'), ('time_stamp', '2/7/2018 10:12:17 AM'), ('delta_to_utc', '-1:00'), ('user_id', 'System'), ('object_id', 'Logs'), ('description', 'Exporting a log.'), ('comment', ''), ('check_sum', 'vjXIJB')])"
files/vial_audit/AuditTrail0_20180207_091217_SPAMI-PC.1.csv,4,unconverted data remains:  AM,"OrderedDict([('record_id', '0'), ('time_stamp', '2/7/2018 10:12:17 AM'), ('delta_to_utc', '-1:00'), ('user_id', 'System'), ('object_id', 'Logs'), ('description', 'Log files closed.'), ('comment', ''), ('check_sum', 'hf+dTg')])"
files/vial_audit/AuditTrail0_20180131_144219_SPAMI-PC.1.csv,ALL,'utf-8' codec can't decode byte 0x80 in position 457: invalid start byte,
files/vial_audit/AuditTrail0_20180205_152108_SPAMI-PC.1.csv,2,unconverted data remains:  PM,"OrderedDict([('record_id', '0'), ('time_stamp', '2/5/2018 4:21:08 PM'), ('delta_to_utc', '-1:00'), ('user_id', 'System'), ('object_id', 'Application'), ('description', ""New log file during run of WinCC Runtime Advanced V13.00 + SP01 HF9 on HMI device SPAMI-PC. Project: 'PSP511701V20.LKD - 0' Build 378, created with WinCC Advanced V13 SP2.""), ('comment', ''), ('check_sum', 'HMmJrR')])"
files/vial_audit/AuditTrail0_20180205_152108_SPAMI-PC.1.csv,3,unconverted data remains:  PM,"OrderedDict([('record_id', '58295'), ('time_stamp', '2/5/2018 4:21:08 PM'), ('delta_to_utc', '-1:00'), ('user_id', 'System'), ('object_id', 'Logs'), ('description', 'Exporting a log.'), ('comment', ''), ('check_sum', '6PuE73')])"
